19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie1, author=Avtor1, gener=ROCK duration=2.12 id=1, frequency=96000.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie2, author=Avtor2, gener=POP duration=3.14 id=2, frequency=96000.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie3, author=Avtor3, gener=FOLK duration=1.2 id=3, frequency=44100.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie4, author=Avtor4, gener=ROCK duration=4.24 id=4, frequency=48000.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie5, author=Avtor5, gener=RNB duration=2.23 id=5, frequency=48000.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie6, author=Avtor6, gener=JAZZ duration=4.21 id=6, frequency=32000.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie7, author=Avtor7, gener=JAZZ duration=4.2 id=7, frequency=48000.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie8, author=Avtor8, gener=RNB duration=2.3 id=8, frequency=44100.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie9, author=Avtor9, gener=POP duration=2.21 id=9, frequency=48000.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie10, author=Avtor10, gener=ROCK duration=3.2 id=10, frequency=98000.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie1, author=Avtor1, gener=ROCK duration=2.12 id=1, frequency=96000.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie2, author=Avtor2, gener=POP duration=3.14 id=2, frequency=96000.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie3, author=Avtor3, gener=FOLK duration=1.2 id=3, frequency=44100.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie4, author=Avtor4, gener=ROCK duration=4.24 id=4, frequency=48000.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie5, author=Avtor5, gener=RNB duration=2.23 id=5, frequency=48000.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie6, author=Avtor6, gener=JAZZ duration=4.21 id=6, frequency=32000.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie7, author=Avtor7, gener=JAZZ duration=4.2 id=7, frequency=48000.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie8, author=Avtor8, gener=RNB duration=2.3 id=8, frequency=44100.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie9, author=Avtor9, gener=POP duration=2.21 id=9, frequency=48000.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie10, author=Avtor10, gener=ROCK duration=3.2 id=10, frequency=98000.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie1, author=Avtor1, gener=ROCK duration=2.12 id=1, frequency=96000.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie2, author=Avtor2, gener=POP duration=3.14 id=2, frequency=96000.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie3, author=Avtor3, gener=FOLK duration=1.2 id=3, frequency=44100.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie4, author=Avtor4, gener=ROCK duration=4.24 id=4, frequency=48000.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie5, author=Avtor5, gener=RNB duration=2.23 id=5, frequency=48000.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie6, author=Avtor6, gener=JAZZ duration=4.21 id=6, frequency=32000.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie7, author=Avtor7, gener=JAZZ duration=4.2 id=7, frequency=48000.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie8, author=Avtor8, gener=RNB duration=2.3 id=8, frequency=44100.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie9, author=Avtor9, gener=POP duration=2.21 id=9, frequency=48000.0
19.08.2014 10:09:38 [main] WARN  by.epam.task3.main.Main -  title=Nzvanie10, author=Avtor10, gener=ROCK duration=3.2 id=10, frequency=98000.0
